Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
01-01-2018,425.65,431.67,424.73,429.83,6580516
02-01-2018,429.75,430.35,426.58,426.58,4776316
03-01-2018,425.22,431.10,424.89,430.35,4531288
04-01-2018,426.89,428.17,425.30,425.30,2373776
05-01-2018,427.74,428.76,425.89,427.60,2870868
08-01-2018,427.05,429.37,426.40,428.06,4570308
09-01-2018,427.76,429.17,425.76,427.37,5305528
10-01-2018,427.88,428.72,426.29,428.10,4615888
11-01-2018,429.79,430.58,426.05,427.88,4059096
12-01-2018,428.13,431.08,426.91,429.90,4336708
15-01-2018,435.58,437.10,426.88,429.20,12576444
16-01-2018,436.13,438.39,432.71,436.88,6445384
17-01-2018,433.91,436.68,433.11,435.40,2905496
18-01-2018,443.96,448.49,440.24,441.60,16649540
19-01-2018,448.07,449.84,440.51,444.16,11455988
22-01-2018,450.63,456.29,448.29,449.86,8849768
23-01-2018,447.87,451.40,446.03,451.01,5047796
24-01-2018,449.32,451.93,447.71,448.15,4790568
25-01-2018,453.30,454.45,447.68,448.46,8723668
29-01-2018,458.96,460.64,454.00,454.00,8235892
30-01-2018,458.01,459.48,455.41,458.54,6397560
31-01-2018,460.35,462.14,456.06,456.61,6943348
01-02-2018,457.01,462.49,455.67,460.42,6521420
02-02-2018,447.11,456.73,445.62,455.83,7346124
05-02-2018,439.27,444.18,437.43,440.22,7926784
06-02-2018,435.36,438.85,421.47,426.91,10749804
07-02-2018,429.85,437.70,427.46,437.70,8364972
08-02-2018,431.72,435.77,428.40,432.42,5171444
09-02-2018,424.50,427.99,423.26,424.13,6408952
12-02-2018,430.73,432.88,425.80,426.91,4381108
14-02-2018,432.22,435.61,430.27,433.75,3577188
15-02-2018,431.94,434.89,430.35,433.73,4915224
16-02-2018,431.18,434.91,430.50,432.40,3583520
19-02-2018,431.09,433.25,426.69,432.10,3654552
20-02-2018,427.65,432.84,426.64,432.59,4084068
21-02-2018,426.31,428.87,425.12,428.74,2753072
22-02-2018,425.35,426.91,422.68,424.62,13253596
23-02-2018,431.63,432.62,424.71,426.20,4076748
26-02-2018,438.74,439.49,432.32,433.36,4788884
27-02-2018,436.68,441.08,436.09,439.48,4787328
28-02-2018,432.47,435.05,431.04,433.69,4066364
01-03-2018,430.21,434.55,428.75,431.34,3909840
05-03-2018,429.20,431.04,426.51,430.16,3781464
06-03-2018,423.76,431.48,422.21,429.21,4576828
07-03-2018,420.62,425.40,419.68,422.32,5628164
08-03-2018,425.27,426.57,420.48,422.28,5518724
09-03-2018,424.86,428.12,423.24,425.75,4108108
12-03-2018,428.58,429.08,425.40,426.96,6557116
13-03-2018,426.97,432.59,425.76,428.62,5124200
14-03-2018,427.94,428.72,424.16,425.99,3680392
15-03-2018,431.69,433.22,428.10,428.10,5870924
16-03-2018,425.30,431.75,423.82,431.50,7896336
19-03-2018,423.98,426.91,423.04,425.30,7838740
20-03-2018,422.21,425.97,421.23,423.49,3657372
21-03-2018,426.66,427.65,423.08,424.16,5921140
22-03-2018,428.69,431.50,425.79,426.66,6673224
23-03-2018,422.68,425.33,421.69,423.85,7190152
26-03-2018,434.59,436.09,420.83,422.30,10501768
27-03-2018,434.39,435.86,430.58,434.67,6136836
28-03-2018,432.90,436.02,430.60,432.18,8837508
02-04-2018,443.25,444.30,433.91,433.91,4596368
03-04-2018,439.74,441.99,438.62,441.59,4079884
04-04-2018,432.25,441.82,431.15,439.06,3714108
05-04-2018,438.14,439.31,433.84,436.39,4858892
06-04-2018,441.46,442.16,437.42,438.89,3720008
09-04-2018,445.06,445.73,439.86,440.41,4003536
10-04-2018,440.88,445.96,439.19,445.96,6067236
11-04-2018,440.42,440.68,437.33,439.74,2870812
12-04-2018,442.70,443.64,437.45,439.76,4712516
13-04-2018,441.83,445.27,440.48,442.52,3297172
16-04-2018,445.76,447.57,440.65,440.68,2847744
17-04-2018,447.22,447.80,443.92,446.08,2667832
18-04-2018,443.57,448.37,442.99,447.80,2712720
19-04-2018,445.04,446.37,443.67,445.27,3169032
20-04-2018,448.92,450.09,443.47,445.50,9361380
23-04-2018,444.30,454.22,426.98,454.22,15304620
24-04-2018,444.13,447.12,442.06,444.13,5037416
25-04-2018,440.85,444.81,438.85,442.50,4020592
26-04-2018,443.04,445.09,438.67,439.95,7847480
27-04-2018,441.46,444.24,438.96,443.67,5777008
30-04-2018,446.26,448.67,442.70,442.98,4609552
02-05-2018,452.04,454.00,446.65,447.57,7100048
03-05-2018,451.68,453.28,446.65,451.71,4152772
04-05-2018,456.40,456.75,451.31,452.16,6881436
07-05-2018,453.86,456.13,453.31,454.83,5264128
08-05-2018,451.48,454.43,448.62,454.28,7100564
09-05-2018,454.09,454.57,448.98,448.98,4327332
10-05-2018,457.37,458.81,454.91,456.43,7171672
11-05-2018,461.74,462.95,455.83,457.37,6057068
14-05-2018,464.04,465.33,461.89,462.99,4742916
15-05-2018,467.72,473.96,465.17,465.25,9826684
16-05-2018,464.40,470.29,462.98,466.06,6841604
17-05-2018,465.41,469.25,461.91,464.52,6615476
18-05-2018,461.83,464.71,459.85,464.71,5217460
21-05-2018,457.45,463.86,455.84,462.74,4848108
22-05-2018,456.73,462.25,455.72,458.75,3960372
23-05-2018,451.59,457.67,450.64,456.24,5726292
24-05-2018,455.83,456.81,449.03,451.49,4520744
25-05-2018,461.04,462.72,456.73,456.75,4759588
28-05-2018,468.73,470.98,460.42,460.83,5103940
29-05-2018,466.53,471.14,465.65,467.77,3351244
30-05-2018,470.14,471.21,462.79,463.57,4866996
31-05-2018,494.19,498.93,480.46,485.08,39639192
01-06-2018,487.52,493.85,485.31,488.77,21151356
04-06-2018,472.65,498.24,470.74,496.62,88796324
