Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
01-01-2018,406.45,410.76,405.05,408.08,5431340
02-01-2018,404.93,409.77,402.30,407.90,6112248
03-01-2018,401.63,405.68,400.57,404.46,6846552
04-01-2018,399.31,401.51,397.03,401.51,8947614
05-01-2018,397.97,403.64,395.61,399.27,11025976
08-01-2018,407.43,408.59,401.14,403.05,5594690
09-01-2018,409.52,410.91,404.62,408.99,9948236
10-01-2018,413.80,415.28,406.25,411.66,9468634
11-01-2018,423.06,426.05,414.98,414.98,16775298
12-01-2018,424.11,427.04,421.00,427.00,18016528
15-01-2018,425.17,429.81,418.86,424.72,10649250
16-01-2018,441.57,446.27,425.21,425.21,22646966
17-01-2018,453.07,456.88,441.63,442.35,26154088
18-01-2018,453.31,458.10,445.20,450.28,13204970
19-01-2018,449.67,451.42,446.74,450.28,5988278
22-01-2018,452.24,454.98,445.16,445.22,9650214
23-01-2018,462.90,467.19,454.21,454.21,15403796
24-01-2018,466.32,480.18,459.13,462.00,20604718
25-01-2018,462.23,465.38,457.06,464.83,13548914
29-01-2018,465.18,470.43,458.22,458.75,10823002
30-01-2018,460.36,465.26,457.24,463.61,8628312
31-01-2018,452.34,458.77,449.16,455.84,9213698
01-02-2018,450.12,455.35,439.88,449.18,13005454
02-02-2018,449.59,457.32,444.42,446.44,10244486
05-02-2018,447.60,454.15,446.68,448.31,9860220
06-02-2018,435.63,443.73,430.67,432.56,10552078
07-02-2018,436.14,442.33,433.98,438.87,8342056
08-02-2018,446.05,450.83,439.09,441.55,8807244
09-02-2018,436.18,440.56,434.94,439.66,4382690
12-02-2018,433.68,440.68,431.72,438.40,6291972
14-02-2018,431.70,439.38,428.73,434.94,8345712
15-02-2018,438.26,444.26,433.76,433.76,7986736
16-02-2018,443.61,448.96,439.70,442.41,9889222
19-02-2018,445.07,446.74,440.56,443.75,6461840
20-02-2018,447.11,452.05,434.06,434.06,7188594
