Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
01-01-2018,400.02,405.71,399.03,405.71,9453202
02-01-2018,400.63,404.32,398.54,401.44,9499419
03-01-2018,402.24,407.16,401.47,406.72,13507800
04-01-2018,404.65,405.31,402.63,403.71,9008932
05-01-2018,405.95,407.56,404.63,405.31,7441284
08-01-2018,408.28,409.36,406.06,407.20,8827020
09-01-2018,413.73,415.03,406.28,408.11,14294571
10-01-2018,414.35,416.57,411.34,414.64,11727682
11-01-2018,412.33,414.48,411.12,414.11,7849171
12-01-2018,417.27,418.94,412.55,414.64,15071161
15-01-2018,417.34,421.45,415.60,417.71,11120925
16-01-2018,405.82,416.70,404.52,416.70,10825151
17-01-2018,406.50,408.48,398.81,407.16,13204016
18-01-2018,404.39,408.74,402.37,408.48,9381821
19-01-2018,409.49,410.85,405.45,405.84,9973533
22-01-2018,427.17,428.40,413.32,416.83,45700733
23-01-2018,432.33,435.72,428.71,428.71,22526810
24-01-2018,424.90,431.67,423.28,431.67,14289485
25-01-2018,424.70,427.39,420.42,425.58,13669901
29-01-2018,424.09,429.72,421.80,424.84,9897064
30-01-2018,417.89,424.66,417.27,424.66,9182956
31-01-2018,422.68,424.09,414.00,417.71,12551686
01-02-2018,415.01,427.65,411.82,423.54,16524809
02-02-2018,397.64,415.05,396.17,411.12,28965593
05-02-2018,396.67,401.22,387.73,393.09,19191099
06-02-2018,392.25,394.85,382.98,385.62,24062503
07-02-2018,393.27,398.10,391.33,396.85,15532284
08-02-2018,397.73,400.41,392.36,394.80,13825894
09-02-2018,394.78,396.61,389.57,390.89,11580639
12-02-2018,402.54,403.73,396.63,397.05,11877059
14-02-2018,410.52,414.42,404.96,405.84,22247829
15-02-2018,411.40,415.84,408.11,412.28,13363743
16-02-2018,405.09,414.46,403.69,413.14,9628162
19-02-2018,407.60,409.80,401.69,404.96,8941900
20-02-2018,405.01,408.72,403.99,408.48,8458450
21-02-2018,408.63,410.02,405.47,408.92,11917390
22-02-2018,406.43,409.36,404.52,405.40,11196908
23-02-2018,410.79,412.44,405.73,406.90,10610664
26-02-2018,412.74,415.47,411.82,412.88,8435611
27-02-2018,417.93,420.26,412.59,412.88,14021366
28-02-2018,419.71,420.83,414.72,415.93,56650480
01-03-2018,417.01,422.07,415.93,417.60,8956590
05-03-2018,406.32,417.78,405.23,414.64,12325694
06-03-2018,400.50,411.65,397.97,408.48,16019726
07-03-2018,391.22,399.80,390.47,399.80,15853546
08-03-2018,400.76,402.10,392.78,394.69,13283967
09-03-2018,401.49,404.24,400.59,402.28,10638527
12-03-2018,409.05,410.28,403.44,404.52,8315150
13-03-2018,409.73,411.56,405.12,409.75,11148731
14-03-2018,408.50,409.82,404.17,408.39,14724464
15-03-2018,400.92,408.68,400.13,406.72,12711836
16-03-2018,395.75,399.99,389.59,399.69,30814962
19-03-2018,393.75,398.76,392.21,396.17,12630833
20-03-2018,391.24,397.49,390.03,392.78,15192983
21-03-2018,394.37,396.76,392.78,393.46,14715126
22-03-2018,399.31,400.98,393.86,393.97,22129723
23-03-2018,393.05,395.73,390.94,391.60,23469999
26-03-2018,396.21,397.62,392.43,393.07,13227705
27-03-2018,395.64,400.46,394.41,398.89,15179544
28-03-2018,388.12,393.90,386.93,393.88,19160609
02-04-2018,392.63,396.15,389.79,392.65,12494499
03-04-2018,395.53,396.48,389.24,391.77,13922126
04-04-2018,393.49,400.92,392.23,397.79,14214534
05-04-2018,399.33,400.13,397.27,397.97,8527915
06-04-2018,400.56,403.86,397.93,399.25,9664888
09-04-2018,402.76,404.08,401.25,401.25,7813897
10-04-2018,403.23,406.24,401.95,403.82,8455132
11-04-2018,409.29,410.13,402.79,405.31,13140816
12-04-2018,408.35,411.84,406.37,408.85,10822592
13-04-2018,412.81,414.06,408.35,410.11,12616816
16-04-2018,412.02,413.32,408.26,410.88,8934275
17-04-2018,415.18,416.48,411.56,413.32,9599816
18-04-2018,412.44,416.92,411.14,415.62,7360987
19-04-2018,414.33,415.51,411.12,412.92,9802587
20-04-2018,408.00,414.13,405.05,412.44,7326696
23-04-2018,411.56,415.23,408.26,408.92,7674482
24-04-2018,426.53,429.01,411.12,411.47,19921115
25-04-2018,426.73,431.70,423.67,428.11,14079382
26-04-2018,428.86,434.42,423.10,427.83,34096999
27-04-2018,438.07,444.53,433.32,435.21,25518647
30-04-2018,423.56,436.44,422.11,431.78,19406069
02-05-2018,427.69,430.55,424.33,425.19,13381914
03-05-2018,422.81,429.98,421.78,429.98,8634812
04-05-2018,419.45,424.18,417.71,423.36,8302649
07-05-2018,426.95,427.94,420.51,421.60,7683268
08-05-2018,425.23,431.78,424.40,429.80,10792648
09-05-2018,429.45,432.79,423.10,424.70,9831044
10-05-2018,431.41,432.93,428.38,430.90,8781584
11-05-2018,434.97,435.87,429.91,431.45,8774740
14-05-2018,433.81,436.16,429.45,436.16,5642499
15-05-2018,430.44,439.70,429.43,432.25,10501479
16-05-2018,420.42,428.27,418.79,428.27,18840763
17-05-2018,415.67,422.11,413.98,421.82,10353948
18-05-2018,410.61,419.25,409.80,415.78,11440117
21-05-2018,409.51,411.43,405.45,409.25,14491208
22-05-2018,407.49,410.68,406.72,410.30,11310073
23-05-2018,401.11,407.16,399.75,407.16,9991028
24-05-2018,402.70,404.96,400.19,401.88,11632489
25-05-2018,404.87,406.02,402.08,402.76,17782410
28-05-2018,404.70,407.60,403.69,406.68,11369679
29-05-2018,403.40,408.04,402.06,405.18,17878384
30-05-2018,402.81,405.93,398.63,402.26,13105124
31-05-2018,405.12,405.53,402.13,404.96,37080158
01-06-2018,409.16,411.45,403.84,404.52,19174278
04-06-2018,413.69,415.07,409.16,410.41,12250151
05-06-2018,416.68,419.91,413.76,414.55,17436812
06-06-2018,419.65,420.35,414.48,416.39,9164022
07-06-2018,427.10,429.15,419.67,419.87,14999572
08-06-2018,432.82,433.78,422.37,424.90,14289325
11-06-2018,432.07,439.68,430.49,434.03,15018718
12-06-2018,438.44,439.70,431.04,432.40,16285583
13-06-2018,440.80,442.29,435.08,439.70,12962502
14-06-2018,443.19,444.89,434.16,438.58,11997529
15-06-2018,445.94,450.03,439.37,442.34,24705890
18-06-2018,446.54,448.69,442.78,443.57,12363932
19-06-2018,437.96,446.21,436.91,445.81,13881382
20-06-2018,448.16,449.77,437.43,437.94,15735681
21-06-2018,453.75,455.53,449.06,450.01,22988909
22-06-2018,445.19,452.54,443.41,452.19,35370008
25-06-2018,441.65,446.95,440.71,444.71,11369371
26-06-2018,430.44,442.34,428.82,442.34,17649122
27-06-2018,427.52,436.17,426.13,433.12,19595831
28-06-2018,418.27,428.69,416.21,425.82,18770484
29-06-2018,430.44,431.79,420.06,420.11,17425606
02-07-2018,425.20,430.40,423.60,430.40,14570004
03-07-2018,429.93,433.10,425.09,427.15,11084063
04-07-2018,438.26,439.10,429.80,430.15,10938521
05-07-2018,426.92,446.36,424.31,441.31,40946479
06-07-2018,432.70,435.11,426.92,427.03,20039239
09-07-2018,441.35,442.64,435.33,436.93,11309207
10-07-2018,454.01,455.25,442.64,443.85,22846197
11-07-2018,459.81,460.74,450.54,453.70,18953870
12-07-2018,479.09,486.46,461.49,462.27,52736376
13-07-2018,486.81,490.88,478.05,478.27,39301408
16-07-2018,476.37,490.84,474.97,486.81,14427529
17-07-2018,483.51,485.11,473.44,477.30,14150770
18-07-2018,483.60,488.94,476.85,486.19,10241565
19-07-2018,489.05,493.54,480.86,483.94,11885426
20-07-2018,499.58,503.94,492.17,492.83,17538801
23-07-2018,495.89,500.09,492.70,500.09,12779803
24-07-2018,491.75,498.74,490.18,496.64,9775749
25-07-2018,493.61,497.08,488.76,491.33,13014255
26-07-2018,491.62,496.42,490.35,491.37,14053674
27-07-2018,500.11,503.46,492.28,495.53,14610585
30-07-2018,509.65,512.26,499.29,500.18,30344461
31-07-2018,524.97,526.92,507.77,509.48,30350826
01-08-2018,527.78,532.45,524.70,526.92,21227054
02-08-2018,517.16,527.40,516.09,527.40,13668930
03-08-2018,520.96,523.86,517.69,520.10,14536058
06-08-2018,527.89,529.39,520.25,520.85,8785462
07-08-2018,524.17,531.78,520.98,528.91,8879612
08-08-2018,539.00,541.12,524.53,524.53,17307566
09-08-2018,539.11,545.20,536.48,540.68,14976885
10-08-2018,533.02,537.80,532.18,536.03,7833494
13-08-2018,525.72,531.14,523.51,530.08,10211072
14-08-2018,535.86,538.78,524.22,526.74,11592139
16-08-2018,531.52,538.25,529.17,532.60,13086024
17-08-2018,532.82,537.98,531.19,535.15,8379864
20-08-2018,546.61,547.45,534.55,534.66,16639535
21-08-2018,552.06,553.96,543.12,547.65,15923396
23-08-2018,561.91,563.92,548.16,551.66,17429373
24-08-2018,565.47,566.55,557.75,560.05,14550512
27-08-2018,571.67,573.59,566.02,566.31,12188510
28-08-2018,583.84,585.61,573.22,573.66,19018790
29-08-2018,572.86,588.26,571.09,582.64,24230135
30-08-2018,564.12,574.17,562.35,572.60,21545859
31-08-2018,549.60,562.15,547.37,562.15,33479841
03-09-2018,544.07,556.79,542.70,551.08,26686176
04-09-2018,549.73,555.42,544.00,546.72,19333815
05-09-2018,543.12,554.47,534.93,549.98,22584608
06-09-2018,558.34,560.25,542.39,544.51,24487897
07-09-2018,565.96,567.17,555.29,559.89,23389269
10-09-2018,555.89,565.25,553.34,564.36,15440786
11-09-2018,547.85,561.44,546.33,557.28,23787332
12-09-2018,554.40,557.15,543.93,554.09,17642490
14-09-2018,554.69,564.63,552.26,557.46,17233514
17-09-2018,542.63,553.63,540.73,553.63,14773803
18-09-2018,538.76,548.60,537.52,542.67,16660044
19-09-2018,535.92,541.79,531.61,541.79,24642640
21-09-2018,538.91,547.72,523.86,539.57,41713856
24-09-2018,545.35,548.83,533.16,537.56,22098277
25-09-2018,544.71,551.08,528.95,546.88,21250513
26-09-2018,553.92,555.04,543.18,548.43,13992341
