Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
01-01-2018,530.28,540.77,527.70,527.93,5314142
02-01-2018,528.53,537.63,523.96,533.01,3839130
03-01-2018,525.66,534.81,523.77,531.16,2182632
04-01-2018,536.89,539.43,517.40,528.39,6246746
05-01-2018,534.63,542.57,531.44,540.40,4600683
08-01-2018,546.50,558.50,541.46,543.17,10475190
09-01-2018,541.78,552.41,539.80,551.48,4025566
10-01-2018,540.49,548.71,537.07,545.76,2929462
11-01-2018,543.12,552.87,536.24,541.09,5930449
12-01-2018,538.97,546.36,535.41,545.02,2842683
15-01-2018,532.50,542.06,530.70,542.06,4456611
16-01-2018,533.66,539.43,528.53,533.33,4868363
17-01-2018,539.24,541.23,532.73,538.55,4812606
18-01-2018,532.73,544.51,530.51,541.32,3679687
19-01-2018,528.48,536.38,524.33,535.78,4693971
22-01-2018,532.22,534.76,525.48,529.31,3072409
23-01-2018,535.18,541.18,531.62,534.86,4790590
24-01-2018,541.83,551.02,531.25,533.01,7168397
25-01-2018,535.64,550.56,533.93,545.94,4213982
29-01-2018,543.12,548.90,534.26,536.75,6006564
30-01-2018,546.82,549.41,535.83,541.05,3542190
31-01-2018,535.69,549.54,531.21,545.02,4781423
01-02-2018,512.04,535.78,507.65,535.78,8789899
02-02-2018,509.18,524.09,503.13,509.91,10873325
05-02-2018,514.95,517.72,492.87,497.72,4734366
06-02-2018,509.73,512.22,490.70,496.06,6325143
07-02-2018,507.61,514.95,501.23,513.61,5110233
08-02-2018,539.57,542.25,493.10,498.88,13707589
09-02-2018,538.27,541.32,526.63,526.63,3796079
12-02-2018,544.23,562.52,540.40,541.32,10261511
14-02-2018,530.98,546.68,527.65,545.90,6630066
15-02-2018,531.85,540.35,522.29,522.29,10715444
16-02-2018,531.39,533.52,520.40,531.53,6640151
19-02-2018,518.60,533.24,511.35,531.16,3518880
20-02-2018,516.84,523.45,514.53,521.60,2481944
21-02-2018,485.67,520.08,472.32,517.35,21898950
22-02-2018,500.17,505.30,484.05,487.28,12473655
23-02-2018,526.22,531.39,504.37,508.07,30844893
26-02-2018,513.56,528.30,511.16,526.54,8083731
27-02-2018,503.26,520.49,500.72,513.56,6920945
28-02-2018,494.53,510.24,492.04,501.60,8366660
01-03-2018,494.58,500.22,492.59,496.94,4264631
05-03-2018,506.73,510.56,486.87,494.30,7343286
06-03-2018,491.21,520.08,489.59,518.23,9825945
07-03-2018,484.83,493.43,480.45,491.44,6282066
08-03-2018,475.37,490.05,470.65,489.31,9316674
09-03-2018,468.16,480.26,466.50,474.81,4996423
12-03-2018,473.56,476.66,467.93,472.04,4632925
13-03-2018,483.40,485.43,473.56,473.56,4795084
14-03-2018,480.45,483.40,476.75,483.40,2469628
15-03-2018,477.08,488.67,475.50,480.35,3013808
16-03-2018,464.70,482.20,463.08,473.01,8924919
19-03-2018,459.71,469.78,458.18,468.16,5580228
20-03-2018,469.96,472.04,456.11,458.88,4615574
21-03-2018,466.04,476.29,464.23,474.77,3986735
22-03-2018,469.64,481.28,466.59,480.35,8691889
23-03-2018,464.10,468.11,459.62,463.54,5098042
26-03-2018,464.84,468.25,458.28,464.10,4203954
27-03-2018,466.59,473.20,464.84,467.42,4458072
28-03-2018,457.35,466.22,454.49,465.57,6856832
02-04-2018,469.13,471.12,458.23,462.71,2924481
03-04-2018,471.12,473.15,466.04,467.42,2709038
04-04-2018,463.96,475.69,462.80,475.69,3120925
05-04-2018,468.85,473.89,466.59,467.42,2409577
06-04-2018,473.52,476.01,468.35,469.27,2772128
