Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
01-01-2018,1063.44,1083.22,1059.18,1078.19,1351760
02-01-2018,1057.65,1073.09,1053.23,1069.23,1920290
03-01-2018,1060.65,1072.85,1057.65,1057.98,1257120
04-01-2018,1068.06,1070.03,1061.19,1065.21,913082
05-01-2018,1080.97,1085.11,1065.21,1065.21,1153706
08-01-2018,1091.10,1096.10,1078.01,1085.31,1242220
09-01-2018,1088.93,1093.75,1075.88,1091.34,2149396
10-01-2018,1128.16,1131.94,1083.16,1089.73,3365850
11-01-2018,1121.69,1134.31,1118.35,1129.53,2520744
12-01-2018,1116.00,1127.52,1101.61,1127.52,3360314
15-01-2018,1103.84,1128.72,1099.40,1116.32,1457214
16-01-2018,1145.95,1150.29,1105.63,1107.82,4267752
17-01-2018,1161.26,1175.75,1150.49,1153.64,4280806
18-01-2018,1173.02,1178.97,1152.86,1164.50,2209478
19-01-2018,1189.54,1198.66,1167.17,1177.98,1820000
22-01-2018,1255.66,1263.03,1177.33,1193.04,4367110
23-01-2018,1249.86,1266.11,1245.04,1255.07,3239610
24-01-2018,1279.11,1313.13,1242.06,1245.02,5621538
25-01-2018,1257.53,1281.20,1241.40,1279.27,3833844
29-01-2018,1288.88,1299.42,1257.91,1261.70,3141060
30-01-2018,1270.34,1290.87,1266.66,1281.28,1574758
31-01-2018,1254.03,1269.20,1248.49,1263.96,3043214
01-02-2018,1264.60,1285.31,1244.54,1258.72,2400630
02-02-2018,1270.67,1285.31,1250.44,1257.11,2456490
05-02-2018,1250.34,1284.51,1239.72,1253.08,2757742
06-02-2018,1207.65,1239.84,1202.71,1212.79,2657306
07-02-2018,1190.65,1221.25,1187.58,1219.64,2180324
08-02-2018,1198.36,1219.88,1192.24,1200.60,2755004
09-02-2018,1197.36,1206.34,1167.12,1188.61,2102458
12-02-2018,1195.58,1218.17,1190.85,1200.01,1974562
14-02-2018,1173.22,1198.46,1165.45,1196.67,2847532
15-02-2018,1178.88,1185.79,1170.52,1181.34,2465236
16-02-2018,1181.78,1208.60,1177.73,1177.73,2515756
19-02-2018,1177.98,1189.94,1166.53,1186.60,1568224
20-02-2018,1186.50,1202.73,1179.71,1179.75,1889068
21-02-2018,1225.80,1233.98,1192.66,1198.28,3089228
22-02-2018,1228.99,1240.59,1217.82,1229.71,3463010
23-02-2018,1239.30,1244.62,1205.58,1228.90,3362500
26-02-2018,1221.53,1245.00,1217.30,1238.98,1363882
27-02-2018,1225.82,1240.41,1221.65,1225.28,1717800
28-02-2018,1222.88,1234.53,1217.40,1222.86,2706864
01-03-2018,1223.95,1233.42,1216.82,1228.50,1718124
05-03-2018,1251.41,1254.55,1222.03,1228.50,2858168
06-03-2018,1226.00,1259.93,1220.91,1257.91,1906764
07-03-2018,1219.82,1244.62,1216.21,1236.96,1917772
08-03-2018,1210.35,1230.88,1203.72,1230.88,1951826
09-03-2018,1222.50,1234.22,1199.57,1210.77,1872436
12-03-2018,1229.77,1242.56,1223.06,1226.08,2091340
13-03-2018,1163.15,1184.46,1157.18,1178.50,88067154
14-03-2018,1163.19,1177.75,1158.41,1165.63,3668668
